City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Torbay,CA,47.6666,-52.7314,68.29,77,55,9.15,broken clouds
81,Bambous Virieux,MU,-20.3428,57.7575,73.22,76,28,14.43,scattered clouds
82,Tessalit,ML,20.1986,1.0114,103.5,14,33,5.23,scattered clouds
83,Cabo San Lucas,MX,22.8909,-109.9124,82.51,85,10,8.03,clear sky
84,Kabala,SL,9.5833,-11.55,85.03,63,99,3.38,light rain
85,Mnogovershinnyy,RU,53.9353,139.9242,39.45,97,34,3.6,scattered clouds
86,Igarka,RU,67.4667,86.5833,32.29,89,34,10.22,scattered clouds
87,Kadyy,RU,57.787,43.1903,51.24,86,96,8.43,overcast clouds
88,Mataura,NZ,-46.1927,168.8643,48.47,72,73,9.06,light rain
89,Sao Filipe,CV,14.8961,-24.4956,80.6,73,20,5.95,few clouds
90,Dharchula,IN,29.85,80.5333,69.12,89,89,2.28,overcast clouds
91,Shitanjing,CN,39.2342,106.3439,63.09,64,100,7.52,overcast clouds
92,Tiksi,RU,71.6872,128.8694,36.93,97,100,14.58,light rain
93,Te Anau,NZ,-45.4167,167.7167,46.18,95,77,6.82,broken clouds
94,Georgetown,MY,5.4112,100.3354,84.88,76,20,0.0,few clouds
95,Olinda,BR,-8.0089,-34.8553,82.13,65,40,8.05,scattered clouds
96,Berlevag,NO,70.8578,29.0864,48.15,53,0,13.8,clear sky
97,Hobart,AU,-42.8794,147.3294,51.26,67,40,3.0,scattered clouds
98,Kapit,MY,2.0167,112.9333,75.25,96,100,0.47,overcast clouds
99,Aranos,NA,-24.1333,19.1167,95.76,4,0,11.65,clear sky
100,Saldanha,ZA,-33.0117,17.9442,61.65,78,5,9.98,clear sky
101,Port Hedland,AU,-20.3167,118.5667,69.85,68,94,8.05,overcast clouds
102,Crotone,IT,39.0851,17.1178,73.71,47,8,23.71,clear sky
103,Vanavara,RU,60.34,102.2797,31.98,89,100,4.12,overcast clouds
104,Grand-Santi,GF,4.25,-54.3833,88.88,46,24,4.7,few clouds
105,Svencionys,LT,55.15,26.1667,50.86,66,96,8.61,overcast clouds
106,Saskylakh,RU,71.9167,114.0833,33.96,99,100,11.74,light rain
107,Kruisfontein,ZA,-34.0033,24.7314,78.89,29,72,22.15,broken clouds
108,Preobrazheniye,RU,42.9019,133.9064,58.98,81,100,11.07,overcast clouds
109,Honolulu,US,21.3069,-157.8583,76.82,74,75,10.36,broken clouds
110,Birin,NP,26.8865,88.0718,63.66,92,48,1.5,scattered clouds
111,Avarua,CK,-21.2078,-159.775,69.85,64,20,8.05,few clouds
112,Padang,ID,-0.9492,100.3543,80.65,86,68,2.71,broken clouds
113,Ilulissat,GL,69.2167,-51.1,24.82,46,75,11.5,broken clouds
114,Maragogi,BR,-9.0122,-35.2225,83.88,62,20,8.72,few clouds
115,Ponta Do Sol,PT,32.6667,-17.1,76.12,50,100,5.03,overcast clouds
116,Les Cayes,HT,18.2,-73.75,84.99,65,22,4.68,few clouds
117,Bulgan,MN,48.8125,103.5347,40.62,81,8,3.33,clear sky
118,Kuandian,CN,40.7286,124.7847,53.2,93,1,5.37,clear sky
119,Alice Springs,AU,-23.7,133.8833,54.95,26,7,4.61,clear sky
120,Kautokeino,NO,69.0125,23.0412,38.75,97,100,19.89,overcast clouds
121,Dahra,DZ,36.2546,0.8519,81.99,46,99,7.58,overcast clouds
122,High Level,CA,58.5169,-117.136,39.72,69,3,10.09,clear sky
123,Castro,BR,-24.7911,-50.0119,63.28,46,12,7.94,few clouds
124,Hofn,IS,64.2539,-15.2082,41.02,75,90,3.44,moderate rain
125,Kavieng,PG,-2.5744,150.7967,81.19,78,100,11.61,overcast clouds
126,Hilo,US,19.7297,-155.09,71.8,88,20,5.75,few clouds
127,Sambava,MG,-14.2667,50.1667,74.77,68,2,15.84,clear sky
128,Pingliang,CN,35.5392,106.6861,62.29,86,80,3.62,broken clouds
129,Tomelloso,ES,39.1522,-3.0243,80.11,43,16,21.59,few clouds
130,Kurchum,KZ,48.5722,83.6542,47.8,37,4,4.94,clear sky
131,East London,ZA,-33.0153,27.9116,76.51,57,94,18.37,overcast clouds
132,Kununurra,AU,-15.7667,128.7333,58.98,55,2,0.0,clear sky
133,Ipameri,BR,-17.7219,-48.1597,91.51,31,5,11.9,clear sky
134,Ayan,RU,56.45,138.1667,51.48,65,0,5.03,clear sky
135,Bonthe,SL,7.5264,-12.505,82.62,75,66,8.68,moderate rain
136,Borgarnes,IS,64.5383,-21.9206,41.56,89,100,9.28,light rain
137,Khatanga,RU,71.9667,102.5,33.75,99,100,4.92,overcast clouds
138,Norman Wells,CA,65.282,-126.8329,32.4,91,97,3.94,overcast clouds
139,Beloha,MG,-25.1667,45.05,71.78,64,66,16.67,broken clouds
140,Pevek,RU,69.7008,170.3133,28.47,96,100,3.13,light snow
141,Provideniya,RU,64.3833,-173.3,32.56,76,96,2.86,overcast clouds
142,Tiarei,PF,-17.5333,-149.3333,73.42,77,2,12.06,light rain
143,Tasiilaq,GL,65.6145,-37.6368,39.36,53,96,5.59,overcast clouds
144,Prince Rupert,CA,54.3161,-130.3201,50.09,81,90,8.05,overcast clouds
145,Ipixuna,BR,-1.7625,-48.8043,87.75,54,16,6.11,few clouds
146,Duldurga,RU,50.6761,113.5931,39.27,82,9,4.09,clear sky
147,Vao,NC,-22.6667,167.4833,66.9,57,1,16.08,clear sky
148,Griffith,US,41.5284,-87.4237,55.54,74,1,1.01,clear sky
149,Tuktoyaktuk,CA,69.4541,-133.0374,33.26,79,100,4.18,overcast clouds
150,Ahipara,NZ,-35.1667,173.1667,56.57,90,99,19.28,overcast clouds
151,Valparaiso,CL,-33.0393,-71.6273,65.32,56,0,4.61,clear sky
152,Loiza,PR,18.4313,-65.8802,89.2,72,40,6.91,scattered clouds
153,Saint George,US,37.1041,-113.5841,69.53,27,1,0.0,clear sky
154,Talaya,RU,61.3833,152.75,35.47,85,15,1.07,few clouds
155,Jiuquan,CN,39.7432,98.5174,65.32,29,82,4.05,broken clouds
156,Leningradskiy,RU,69.3833,178.4167,24.71,90,100,5.79,overcast clouds
157,Airai,TL,-8.9266,125.4092,58.53,81,93,1.97,overcast clouds
158,Kaduna,NG,10.5222,7.4383,77.68,71,100,3.74,overcast clouds
159,Huarmey,PE,-10.0681,-78.1522,64.87,80,89,6.49,overcast clouds
160,Ushtobe,KZ,45.2514,77.9838,56.32,23,100,12.55,overcast clouds
161,San Policarpo,PH,12.1791,125.5072,81.43,83,32,8.7,scattered clouds
162,Gravelbourg,CA,49.8834,-106.5512,54.1,64,54,4.9,broken clouds
163,Vila Franca Do Campo,PT,37.7167,-25.4333,73.81,58,40,8.41,scattered clouds
164,Makakilo City,US,21.3469,-158.0858,75.52,73,90,4.61,overcast clouds
165,San Quintin,MX,30.4833,-115.95,72.7,77,97,8.88,overcast clouds
166,Filadelfia,US,39.9523,-75.1638,81.01,77,75,10.0,broken clouds
167,Chino Valley,US,34.7575,-112.4538,64.71,41,1,3.44,clear sky
168,Tezu,IN,27.9167,96.1667,76.48,83,5,4.18,clear sky
